question,sentence,label
Is there any collection of blood anywhere in or around sinuses?,Hemorrhagic secretions  are present within the nasal cavity with extension into the right maxillary  sinus.,entailment
Are the portal veins patent?,"Within this limitation, the portal vein is noted to be patent;   however, waveforms were not well evaluated.",not_entailment
Do we see any right upper lobe opacity on the lateral view of chest x ray?,IMPRESSION:  Persistent right upper lobe opacity.,entailment
Is there any evidence of bleeding in the chest cavity?,Colonic diverticulosis without evidence of diverticuliltis.,not_entailment
Do the lungs show any more infiltrates post extubation?,"There is  interval improvement in the bilateral lung opacity, most marked in the right  lung base.",entailment
what is the location of vagal nerve stimulator cable?,AP and lateral views to assess vagal nerve stimulator cable.,not_entailment
How are the veins of the lower extremity?,The grayscale ultrasound of the veins of the upper extremities demonstrated  filling defect in the right cephalic vein at the level of the antecubital  fossa consistent with thrombus.,not_entailment
Is there any evidence of bleeding in the chest cavity?,FINDINGS:   CT OF THE CHEST WITH IV CONTRAST: There is good opacification of the thoracic  and abdominal aorta.,not_entailment
Which lobes of the lungs have infiltrates ?,There is no  interval change in the positions of the pacemaker leads.,not_entailment
Is there any difference in the infiltrates?,This corresponds to improved pulmonary edema.,entailment
Are there any pathologies within the brain?,FINAL REPORT  EXAMINATION:  MRI of the brain with and without gadolinium.,not_entailment
Was there any interval change?,"There is  interval improvement in the bilateral lung opacity, most marked in the right  lung base.",entailment
Is there any evidence of pulmonary edema?,There is no pneumothorax.,not_entailment
Was the ogt placed correctly?,"A NG tube is coiled within the fundus of the stomach and a left  PICC line and left subclavian vascular catheter remain in place, unchanged in  position.",entailment
How is the position of oro-gastric tube?,ET tube terminates within 2 cm of carina with the neck in flexed position.,not_entailment
Do we see any blood clots in the veins of right and left upper extremities?,The left cephalic vein demonstrated a filling defect in the region of the left  antecubital fossa which was consistent with a partial thrombosis.,entailment
Are thre any changes in the diffuse convalescent opacities in the lungs?,"There has been interval improvement in  the bilateral ground glass, patchy opacities.",entailment
Is there evidence of bleeding in GI?,There are  multilevel degenerative changes of the thoracic spine.,not_entailment
Is the NGT placed correctly?,No  pneumothorax is noted.,not_entailment
Do we see any blocks in the coronary arteries?,Stress and resting perfusion images show no myocardial perfusion defects.,entailment
