question,sentence,label
在或者周围的鼻窦中有任何血液积累吗？,在鼻腔内存在出血分泌物，并延伸到右侧上颌窦。,entailment
渗透物之间有任何差异吗？,这对应于改善的肺水肿。,entailment
有后腹膜出血的迹象吗？,没有腹膜后血肿的证据。,entailment
我们是否发现了任何单侧或双侧的胸腔积液？,最小的右侧胸腔积液。,not_entailment
脊柱上有任何骨质缺损吗？,未发现急性骨折或创伤性错位。,entailment
胸膜腔内还有剩余的液体吗？,心脏较大，但考虑到技术差异，其大小并无明显变化。,not_entailment
铅是否放置正确？,患者在经历过中线胸骨切开术和冠状动脉旁路手术后的状态。,not_entailment
是否可以看到左侧喉返神经的增厚？,评估复发性喉神经的路径。,not_entailment
左侧胸部的迷走神经刺激器是否完好无损？,与之前一样，[**医生姓氏**]左侧第5和第6排肋骨的愈合骨折证据看起来没有变化。,not_entailment
肺部的间质空间怎么样？,持续的间质和肺泡浸润，符合PCP（肺孢子虫病）的表现。,entailment
大脑实质中是否有任何异常？,发现：没有颅内出血。,entailment
是否存在液体积聚？,2.4 x 3.7 x 20 cm的集合位于中线，从盆骨延伸到切口处的中腹部。,entailment
大脑内有任何病理变化吗？,最终报告 检查：带有和不带钆剂的脑部核磁共振成像。,not_entailment
右侧内颈静脉中心线的位置是什么？,2) 新的右侧内颈静脉（IJ）线和口咽胃管看起来位置良好。,not_entailment
有没有任何心力衰竭的迹象？,发现：心脏稳定地扩大了。,entailment
肾脏看起来是什么样的？,肾脏超声: 右肾测量为10.3厘米。,entailment
在放置锁骨下起搏器时，有没有由于创伤引起的气胸病例？,印象：左侧起搏器置入后未见气胸。,entailment
静脉映射完成了吗？,最终报告 历史： 静脉绘图。,not_entailment
是否观察到左侧喉返神经有任何增厚？,在喉返神经的路径上没有发现任何质块的证据。,entailment
肺部内是否有渗透的证据？,没有心包扩大。,not_entailment
左侧胸部的迷走神经刺激器是否完好？,病人有左侧胸痛。,not_entailment
X射线显示了左侧远侧指骨骨折吗？,发现：在左侧第四中指远端部分存在一条线状透亮区，延伸到关节内表面，符合急性骨折的情况。,entailment
